sector,anio,vbp_macro
"Comercio mayorista, minorista y reparaciones",2019,4441167.184840664
"Comercio mayorista, minorista y reparaciones",2020,6274075.958811834
"Comercio mayorista, minorista y reparaciones",2021,10805985.725278769
"Comercio mayorista, minorista y reparaciones",2022,19678589.6260724
Hoteles y restaurantes,2016,457749.47000725544
Hoteles y restaurantes,2017,629024.2962268791
Hoteles y restaurantes,2018,808776.0279601065
Hoteles y restaurantes,2019,1148437.2184469
Hoteles y restaurantes,2020,867620.5950947724
Hoteles y restaurantes,2021,1612333.722482876
Hoteles y restaurantes,2022,4123510.504234939
Hoteles; campamentos y otros tipos de hospedaje temporal,2016,43252.17010308479
Hoteles; campamentos y otros tipos de hospedaje temporal,2017,54738.692367013784
Hoteles; campamentos y otros tipos de hospedaje temporal,2018,71289.68714835121
Hoteles; campamentos y otros tipos de hospedaje temporal,2019,101846.97668346898
Hoteles; campamentos y otros tipos de hospedaje temporal,2020,57699.707314413004
Hoteles; campamentos y otros tipos de hospedaje temporal,2021,115270.96218587103
Hoteles; campamentos y otros tipos de hospedaje temporal,2022,471394.6706
"Restaurantes, bares y cantinas",2016,414497.2999041706
"Restaurantes, bares y cantinas",2017,574285.6038598653
"Restaurantes, bares y cantinas",2018,737486.3408117553
"Restaurantes, bares y cantinas",2019,1046590.2417634309
"Restaurantes, bares y cantinas",2020,809920.8877803595
"Restaurantes, bares y cantinas",2021,1497062.7602970046
"Restaurantes, bares y cantinas",2022,3652115.833634939
"Transporte, almacenamiento y comunicaciones",2016,1115678.6124132145
"Transporte, almacenamiento y comunicaciones",2017,1507782.7689560237
"Transporte, almacenamiento y comunicaciones",2018,2017404.4327057505
"Transporte, almacenamiento y comunicaciones",2019,3152700.515101268
"Transporte, almacenamiento y comunicaciones",2020,3579994.676660666
"Transporte, almacenamiento y comunicaciones",2021,5780388.161050204
"Transporte, almacenamiento y comunicaciones",2022,10155107.146216
Transporte,2016,673305.5024043685
Transporte,2017,901787.1208369454
Transporte,2018,1185303.1169066185
Transporte,2019,1898841.4876240392
Transporte,2020,1881620.0783441667
Transporte,2021,3495486.9511629194
Transporte,2022,6676321.030406
Comunicaciones,2016,442373.1100088459
Comunicaciones,2017,605995.6481190784
Comunicaciones,2018,832101.3157991322
Comunicaciones,2019,1253859.0274772288
Comunicaciones,2020,1698374.5983164993
Comunicaciones,2021,2284901.209887285
Comunicaciones,2022,3478786.1158100003
Intermediación financiera,2016,517487.7811880466
Intermediación financiera,2017,682018.6323773839
Intermediación financiera,2018,876425.9617517547
Intermediación financiera,2019,1178315.6482112238
Intermediación financiera,2020,1720432.5326299977
Intermediación financiera,2021,2380593.381495683
Intermediación financiera,2022,3800303.1227336996
Intermediación financiera y otros servicios financieros,2016,316349.00338081765
Intermediación financiera y otros servicios financieros,2017,417219.23906975315
Intermediación financiera y otros servicios financieros,2018,536377.9862315339
Intermediación financiera y otros servicios financieros,2019,697650.6101610878
Intermediación financiera y otros servicios financieros,2020,1043551.3430872278
Intermediación financiera y otros servicios financieros,2021,1364275.1148722512
Intermediación financiera y otros servicios financieros,2022,2041222.6862899996
Servicios de seguros,2016,157335.30623402214
Servicios de seguros,2017,205504.4619050774
Servicios de seguros,2018,258717.6185414099
Servicios de seguros,2019,361886.1141930531
Servicios de seguros,2020,483926.9125421524
Servicios de seguros,2021,709036.6515605416
Servicios de seguros,2022,1198379.2057999999
Servicios auxiliares a la actividad financiera,2016,43803.471573206894
Servicios auxiliares a la actividad financiera,2017,59294.93140255331
Servicios auxiliares a la actividad financiera,2018,81330.3569788109
Servicios auxiliares a la actividad financiera,2019,118778.92385708298
Servicios auxiliares a la actividad financiera,2020,192954.2770006173
Servicios auxiliares a la actividad financiera,2021,307281.6150628902
Servicios auxiliares a la actividad financiera,2022,560701.2306437001
"Actividades inmobiliarias, empresariales y de alquiler",2016,1082272.518720812
"Actividades inmobiliarias, empresariales y de alquiler",2017,1479598.0933920906
"Actividades inmobiliarias, empresariales y de alquiler",2018,2135887.129288793
"Actividades inmobiliarias, empresariales y de alquiler",2019,3123114.248648055
"Actividades inmobiliarias, empresariales y de alquiler",2020,3850287.9832254765
"Actividades inmobiliarias, empresariales y de alquiler",2021,6364263.666432349
"Actividades inmobiliarias, empresariales y de alquiler",2022,11509919.6433
